region1,region2,exp_cap,log_exp_cap,perc_urban,perc_formal,perc_smp,perc_sma
Indonesia Barat,Kalimantan,1378129.5,14.136238,.30043674,.43469152,.4059577,.2639122
Indonesia Barat,Kalimantan,1383547.8,14.140162,.26999068,.55742395,.43492717,.21819782
Indonesia Barat,Kalimantan,1475826.6,14.204729,.34836343,.55599129,.37059766,.22245872
Indonesia Barat,Kalimantan,1491858,14.215533,.51149076,.55287302,.44063172,.27212512
Indonesia Barat,Kalimantan,1494615.3,14.21738,.23824331,.43697584,.41701591,.2555449
Indonesia Barat,Kalimantan,1503000.1,14.222974,.23815566,.44364861,.37679717,.25105804
Indonesia Barat,Kalimantan,1508024,14.226311,.50324124,.54826671,.3700017,.22156747
Indonesia Barat,Kalimantan,1545742.1,14.251015,.46243179,.54952824,.43369925,.29727161
Indonesia Barat,Kalimantan,1571012.5,14.267231,.99399579,.58454931,.51905602,.37836531
Indonesia Barat,Kalimantan,1577834.8,14.271564,0,.69155824,.41554838,.28990152
Indonesia Barat,Kalimantan,1609731.6,14.291578,.98377806,.67441463,.52525491,.35133547
Indonesia Barat,Kalimantan,1702316.9,14.347501,1,.69860297,.54772329,.43082008
Indonesia Barat,Kalimantan,1705198.8,14.349193,.99760848,.66379666,.54469138,.39846572
Indonesia Barat,Kalimantan,1725537.6,14.36105,.25291595,.5185371,.37574846,.22676626
Indonesia Barat,Kalimantan,1766891.6,14.384732,.97924775,.62956017,.56274945,.40121353
Indonesia Barat,Kalimantan,1792453.8,14.399096,.46860677,.59233993,.47119704,.30939412
Indonesia Barat,Kalimantan,1861948,14.437134,.98044443,.63598871,.6086418,.45000786
Indonesia Barat,Kalimantan,1874951.6,14.444094,.97325432,.69677073,.53677714,.40688792
Indonesia Barat,Kalimantan,1877211.9,14.445298,.98233026,.69102556,.58858788,.44805345
Indonesia Barat,Kalimantan,1940939,14.478683,.56281191,.62264907,.47699967,.33615094
Indonesia Barat,Sumatera,478052.47,13.077476,0,.12553293,.31553081,.1843227
Indonesia Barat,Sumatera,526347.44,13.173717,0,.16533352,.29037154,.18655638
Indonesia Barat,Sumatera,604496.75,13.312152,0,.17017598,.31195843,.16035406
Indonesia Barat,Sumatera,641325.94,13.371293,.075589947,.11404201,.26535687,.12774378
Indonesia Barat,Sumatera,653127.31,13.389527,.081410639,.15635236,.3364968,.17803779
